n,timeoutinterval,samplertt,retransmission 

 a,b = (0.125,0.125) 
154 , 9163.503 , 546.084 , 1 
155 , 7950.81 , 40.0 , 1 
156 , 7366.403 , 523.392 , 1 
157 , 6330.968 , 340.205 , 1 
158 , 5630.266 , 40.0 , 1 
159 , 5267.795 , 375.86 , 1 
160 , 4572.679 , 2752.687 , 1 
161 , 5838.162 , 6000.0 , 0 
162 , 10225.44 , 6000.0 , 1 
163 , 12972.549 , 4200.0 , 1 
164 , 12532.446 , 6000.0 , 1 
165 , 14008.239 , 40.0 , 1 
166 , 13723.66 , 558.664 , 1 
167 , 12655.459 , 6000.0 , 1 
168 , 14239.852 , 6000.0 , 1 
169 , 15022.117 , 6000.0 , 1 
170 , 15253.535 , 40.0 , 1 
171 , 15357.336 , 1081.17 , 1 
172 , 14035.761 , 2000.165 , 1 
173 , 11959.528 , 6000.0 , 1 
174 , 13334.772 , 40.0 , 1 
175 , 13492.817 , 1240.84 , 1 
176 , 12125.396 , 6000.0 , 1 
177 , 13604.38 , 6000.0 , 1 
178 , 14337.323 , 40.0 , 1 
179 , 14504.694 , 40.0 , 1 
180 , 14162.513 , 1102.551 , 1 
181 , 12566.895 , 878.647 , 1 
182 , 11357.423 , 6000.0 , 1 
183 , 13333.738 , 6000.0 , 1 
184 , 14401.513 , 40.0 , 1 
185 , 14252.272 , 808.975 , 1 
186 , 13037.347 , 40.0 , 1 
187 , 12530.768 , 74.0 , 1 
188 , 11778.237 , 40.0 , 1 
189 , 10948.385 , 1023.141 , 1 
190 , 9202.657 , 6000.0 , 1 
191 , 12256.141 , 6000.0 , 1 
192 , 14064.485 , 6000.0 , 1 
193 , 14999.196 , 6000.0 , 1 
194 , 15331.374 , 40.0 , 1 
195 , 15308.805 , 40.0 , 1 
196 , 14816.846 , 984.63 , 1 
197 , 13205.67 , 1821.566 , 1 
198 , 11034.109 , 40.0 , 1 
199 , 10880.0 , 765.624 , 1 
200 , 9805.196 , 6000.0 , 1 

 a,b = (0.125,0.375) 
101 , 10421.226 , 6000.0 , 1 
102 , 10237.475 , 3900.0 , 1 
103 , 9730.02 , 6000.0 , 1 
104 , 9788.077 , 6000.0 , 1 
105 , 9642.26 , 6000.0 , 1 
106 , 9391.79 , 6000.0 , 1 
107 , 9095.821 , 40.0 , 1 
