n,timeoutinterval,samplertt,retransmission 

 a,b = (0.125,0.125) 
141 , 13603.3586338 , 1500.146 , 1 
142 , 13788.0579659 , 1050.102 , 1 
143 , 13015.4541849 , 6000.0 , 1 
144 , 12542.3680729 , 40.0 , 1 
145 , 13524.1264606 , 1291.936 , 1 
146 , 13913.5756388 , 2390.082 , 1 
147 , 12640.1584233 , 6000.0 , 1 
148 , 10488.9686749 , 6000.0 , 1 
149 , 12245.4722768 , 6000.0 , 1 
150 , 13203.0067569 , 6000.0 , 1 
151 , 13606.2947983 , 6000.0 , 1 
152 , 13633.2558631 , 4200.0 , 1 
153 , 13412.4098161 , 4590.667 , 1 
154 , 11235.9059534 , 40.0 , 1 
155 , 9830.2724654 , 715.656 , 1 
156 , 12214.5689424 , 1145.05 , 1 
157 , 12807.609226 , 801.535 , 1 
158 , 12443.1986239 , 40.0 , 1 
159 , 12151.5626467 , 290.642 , 1 
160 , 12271.8312977 , 6000.0 , 1 
161 , 11749.2011219 , 3900.0 , 1 
162 , 13624.8017264 , 40.0 , 1 
163 , 12254.8895691 , 980.972 , 1 
164 , 12349.7178682 , 6000.0 , 1 
165 , 11203.9197561 , 6000.0 , 1 
166 , 13140.1027977 , 6000.0 , 1 
167 , 14187.5947064 , 4200.0 , 1 
168 , 14619.1489369 , 6000.0 , 1 
169 , 12608.0079963 , 6000.0 , 1 
170 , 13050.4465042 , 6000.0 , 1 
171 , 13120.4703218 , 6000.0 , 1 
172 , 12943.9087545 , 4200.0 , 1 
173 , 12611.0430774 , 6000.0 , 1 
174 , 10954.7818576 , 6000.0 , 1 
175 , 10987.2186442 , 6000.0 , 1 
176 , 10852.6547028 , 6000.0 , 1 
177 , 10612.7016568 , 4200.0 , 1 
178 , 10311.0855435 , 6000.0 , 1 
179 , 9850.30994406 , 6000.0 , 1 
180 , 9736.58254785 , 6000.0 , 1 
181 , 9545.18073946 , 6000.0 , 1 
182 , 9308.7864046 , 6000.0 , 1 
183 , 9050.2530472 , 6000.0 , 1 
184 , 8785.27012369 , 40.0 , 1 
185 , 8524.33538876 , 781.065 , 1 
186 , 12618.4458961 , 507.692 , 1 
187 , 14263.6976072 , 40.0 , 1 
188 , 15161.2631487 , 40.0 , 1 
189 , 15701.5969369 , 870.711 , 1 
190 , 15566.7660811 , 6000.0 , 1 
191 , 14266.199767 , 40.0 , 1 
192 , 15072.5148482 , 40.0 , 1 
193 , 14787.4129854 , 40.0 , 1 
194 , 14139.4582321 , 865.303 , 1 
195 , 13273.6298555 , 6000.0 , 1 
196 , 11569.7389254 , 40.0 , 1 
197 , 13718.6175634 , 684.606 , 1 
198 , 13019.985632 , 40.0 , 1 
199 , 11591.853626 , 707.356 , 1 

 a,b = (0.125,0.375) 
101 , 9896.8734034 , 6000.0 , 1 
102 , 12813.3000902 , 4200.0 , 1 
103 , 14088.8474929 , 40.0 , 1 
104 , 11482.2477524 , 40.0 , 1 
105 , 13121.8002103 , 40.0 , 1 
106 , 13405.2210758 , 74.0 , 1 
107 , 12933.7221237 , 1066.409 , 1 
108 , 12024.7279097 , 6000.0 , 1 
109 , 9602.86895316 , 6000.0 , 1 
110 , 13364.0876991 , 6000.0 , 1 
111 , 15075.8125899 , 6000.0 , 1 
112 , 15586.4834244 , 4200.0 , 1 
113 , 15416.3901265 , 40.0 , 1 
114 , 11956.977067 , 71.565 , 1 
115 , 13853.3624504 , 2117.829 , 1 
116 , 14199.544967 , 3917.984 , 1 
117 , 10913.0014699 , 6000.0 , 1 
118 , 9762.50117463 , 6000.0 , 1 
119 , 12242.6355831 , 40.0 , 1 
120 , 13306.3355448 , 594.117 , 1 
121 , 14590.7165414 , 1099.116 , 1 
122 , 13849.1366861 , 6000.0 , 1 
123 , 12127.88253 , 6000.0 , 1 
124 , 14043.5293305 , 6000.0 , 1 
125 , 14714.1082372 , 6000.0 , 1 
126 , 14672.3572532 , 3900.0 , 1 
127 , 14243.0079375 , 6000.0 , 1 
128 , 10581.4687594 , 6000.0 , 1 
129 , 11352.7374756 , 40.0 , 1 
130 , 11523.6154856 , 226.981 , 1 
131 , 14979.0203384 , 419.915 , 1 
132 , 15911.3294139 , 2684.421 , 1 
133 , 15420.6978577 , 6000.0 , 1 
134 , 11335.5262789 , 6000.0 , 1 
135 , 13047.3450225 , 6000.0 , 1 
136 , 13653.1516 , 6000.0 , 1 
137 , 13625.7105908 , 4200.0 , 1 
138 , 13253.248605 , 6000.0 , 1 
139 , 9961.48550811 , 40.0 , 1 
